<block:absentbydesign:fence_log_acacia>, Acacia Log Fence
<block:absentbydesign:fence_log_birch>, Birch Log Fence
<block:absentbydesign:fence_log_darkoak>, Darkoak Log Fence
<block:absentbydesign:fence_log_jungle>, Jungle Log Fence
<block:absentbydesign:fence_log_oak>, Oak Log Fence
<block:absentbydesign:fence_log_spruce>, Spruce Log Fence
<block:absentbydesign:fence_quartz>, Quartz Fence
<block:absentbydesign:fence_red_netherbrick>, Red Netherbrick Fence
<block:absentbydesign:slab_andesite>, Andesite Slab
<block:absentbydesign:slab_andesite_double>, tile.slab_andesite_double.name
<block:absentbydesign:slab_andesite_smooth>, Smooth Andesite Slab
<block:absentbydesign:slab_andesite_smooth_double>, tile.slab_andesite_smooth_double.name
<block:absentbydesign:slab_bricks_cracked>, Cracked Bricks Slab
<block:absentbydesign:slab_bricks_cracked_double>, tile.slab_bricks_cracked_double.name
<block:absentbydesign:slab_bricks_mossy>, Moss Bricks Slab
<block:absentbydesign:slab_bricks_mossy_double>, tile.slab_bricks_mossy_double.name
<block:absentbydesign:slab_coarse_dirt>, Coarse Dirt Slab
<block:absentbydesign:slab_coarse_dirt_double>, tile.slab_coarse_dirt_double.name
<block:absentbydesign:slab_cobble_moss>, Moss Cobble Slab
<block:absentbydesign:slab_cobble_moss_double>, tile.slab_cobble_moss_double.name
<block:absentbydesign:slab_concrete_black>, Black Concrete Slab
<block:absentbydesign:slab_concrete_black_double>, tile.slab_concrete_black_double.name
<block:absentbydesign:slab_concrete_blue>, Blue Concrete Slab
<block:absentbydesign:slab_concrete_blue_double>, tile.slab_concrete_blue_double.name
<block:absentbydesign:slab_concrete_brown>, Brown Concrete Slab
<block:absentbydesign:slab_concrete_brown_double>, tile.slab_concrete_brown_double.name
<block:absentbydesign:slab_concrete_cyan>, Cyan Concrete Slab
<block:absentbydesign:slab_concrete_cyan_double>, tile.slab_concrete_cyan_double.name
<block:absentbydesign:slab_concrete_gray>, Gray Concrete Slab
<block:absentbydesign:slab_concrete_gray_double>, tile.slab_concrete_gray_double.name
<block:absentbydesign:slab_concrete_green>, Green Concrete Slab
<block:absentbydesign:slab_concrete_green_double>, tile.slab_concrete_green_double.name
<block:absentbydesign:slab_concrete_light_blue>, Light Blue Concrete Slab
<block:absentbydesign:slab_concrete_light_blue_double>, tile.slab_concrete_light_blue_double.name
<block:absentbydesign:slab_concrete_lime>, Lime Concrete Slab
